address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code","County Subdivision Name","County Subdivision FIPS","County Subdivision Class Code","County Subdivision Class Description"
"6105 TECHNI CENTER DR Austin TX 78721",30.275785,-97.668771,1,rooftop,"6105 Techni Center Dr",,"Austin, TX 78721",6105,"Techni Center Dr",,,Austin,TX,"Travis County",78721,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002110,2008,2,484530021102008,48453002110,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8911 N LAMAR BLVD Austin TX 78753",30.357862,-97.699505,1,rooftop,"8911 N Lamar Blvd",,"Austin, TX 78753",8911,"N Lamar Blvd",,,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,043100,3000,3,484530431003000,48453043100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"6615 BERKMAN DR Austin TX 78723",30.31956,-97.688805,1,rooftop,"6615 Berkman Dr",,"Austin, TX 78723",6615,"Berkman Dr",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002112,1002,1,484530021121002,48453002112,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"701 EAST AVE Austin TX 78702",30.548392,-97.548624,0.85,rooftop,"701 East St",,"Hutto, TX 78634",701,"East St",,,Hutto,TX,"Williamson County",78634,US,"City of Round Rock",2024,48,48491,Hutto,4835624,020813,1017,1,484910208131017,48491020813,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Taylor,93845,Z5,"A statistical county subdivision"
"720 LAMAR PLACE Austin TX 78752",30.331732,-97.722307,1,rooftop,"720 Lamar Pl",,"Austin, TX 78752",720,"Lamar Pl",,,Austin,TX,"Travis County",78752,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001503,3005,3,484530015033005,48453001503,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"6400 S CONGRESS Austin TX 78745",30.196901,-97.777741,1,rooftop,"6400 S Congress Ave",,"Austin, TX 78745",6400,"S Congress Ave",,,Austin,TX,"Travis County",78745,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002444,3000,3,484530024443000,48453002444,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1901 E MLK JR BLVD Austin TX 78702",30.279564,-97.720864,1,rooftop,"1901 E Martin Luther King Jr Blvd",,"Austin, TX 78702",1901,"E Martin Luther King Jr Blvd",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000803,2002,2,484530008032002,48453000803,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4400 E BEN WHITE BLVD Austin TX 78741",30.218191,-97.690192,0.7,street_center,"E Ben White Blvd",,"Austin, TX 78741",,"E Ben White Blvd",,,Austin,TX,"Travis County",78741,US,"TIGER/Line® dataset from the US Census Bureau",2024,48,48453,Austin,4805000,002448,1005,1,484530024481005,48453002448,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"753 MONTOPOLIS Austin TX 78741",30.23637,-97.695746,0.93,rooftop,"753 Montopolis Dr",,"Austin, TX 78741",753,"Montopolis Dr",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002321,1009,1,484530023211009,48453002321,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"912 W MARY ST Austin TX 78704",30.248359,-97.76163,1,rooftop,"912 W Mary St",,"Austin, TX 78704",912,"W Mary St",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001312,1003,1,484530013121003,48453001312,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"717 E 7TH ST Austin TX 78701",30.26666,-97.73509,1,rooftop,"717 E 7th St",,"Austin, TX 78701",717,"E 7th St",,,Austin,TX,"Travis County",78701,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001101,1031,1,484530011011031,48453001101,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"834 E RUNDBERG LN STE B Austin TX 78753",30.357557,-97.685894,1,rooftop,"834 E Rundberg Ln","Ste B","Austin, TX 78753",834,"E Rundberg Ln",Ste,B,Austin,TX,"Travis County",78753,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,041600,1008,1,484530416001008,48453041600,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"3842 AIRPORT BLVD Austin TX 78722",30.288915,-97.707758,1,rooftop,"3842 Airport Blvd",,"Austin, TX 78722",3842,"Airport Blvd",,,Austin,TX,"Travis County",78722,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000402,1001,1,484530004021001,48453000402,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"3713 GUADALUPE ST Austin TX 78705",30.302374,-97.737972,1,rooftop,"3713 Guadalupe St",,"Austin, TX 78705",3713,"Guadalupe St",,,Austin,TX,"Travis County",78705,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000500,1000,1,484530005001000,48453000500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12636 RESEARCH BLVD B 107 Austin TX 78759",30.430632,-97.763495,1,range_interpolation,"12636 Research Blvd","Ste B107","Austin, TX 78759",12636,"Research Blvd",Ste,B107,Austin,TX,"Travis County",78759,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,032700,2002,2,484530327002002,48453032700,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"719 W WM CANNON Austin TX 78745",30.198702,-97.797183,0.5,place,,,"Austin, TX 78745",,,,,Austin,TX,"Travis County",78745,US,"TIGER/Line® dataset from the US Census Bureau",2024,48,48453,Austin,4805000,002424,2012,2,484530024242012,48453002424,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"6507 JESTER BLVD STE101 Austin TX 78750",30.369751,-97.800434,1,rooftop,"6507 Jester Blvd","Ste 101","Austin, TX 78750",6507,"Jester Blvd",Ste,101,Austin,TX,"Travis County",78750,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,030500,3001,3,484530305003001,48453030500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"1514 HOLLY ST Austin TX 78702",30.255233,-97.730382,1,rooftop,"1514 Holly St",,"Austin, TX 78702",1514,"Holly St",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001000,1016,1,484530010001016,48453001000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10700 ANDERSON MILL RD #10 Austin TX 78750",30.447614,-97.810785,1,rooftop,"10700 Anderson Mill Rd","# 10","Austin, TX 78750",10700,"Anderson Mill Rd",#,10,Austin,TX,"Williamson County",78750,US,"City of Round Rock",2024,48,48491,Austin,4805000,020405,3013,3,484910204053013,48491020405,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Round Rock-Georgetown",93343,Z5,"A statistical county subdivision"
"2723 I H 35 SOUTH Austin TX 78741",30.310476,-97.762904,0.86,range_interpolation,"2723 W 35th St",,"Austin, TX 78703",2723,"W 35th St",,,Austin,TX,"Travis County",78703,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,001604,2006,2,484530016042006,48453001604,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12400 AMHERST STE 100 Austin TX 78727",30.421351,-97.716515,0.93,rooftop,"12400 Amherst Dr","Ste 100","Austin, TX 78727",12400,"Amherst Dr",Ste,100,Austin,TX,"Travis County",78727,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,041300,1018,1,484530413001018,48453041300,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1313 MONTOPOLIS DRIVE Austin TX 78741",30.230132,-97.699691,1,rooftop,"1313 Montopolis Dr",,"Austin, TX 78741",1313,"Montopolis Dr",,,Austin,TX,"Travis County",78741,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002321,1012,1,484530023211012,48453002321,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4619 SOUTH CONGRESS Austin TX 78745",30.215211,-97.767789,1,rooftop,"4619 S Congress Ave",,"Austin, TX 78745",4619,"S Congress Ave",,,Austin,TX,"Travis County",78745,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002403,1018,1,484530024031018,48453002403,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2125 W BEN WHITE BLVD Austin TX 78704",30.230445,-97.7905,1,range_interpolation,"2125 W Ben White Blvd",,"Austin, TX 78704",2125,"W Ben White Blvd",,,Austin,TX,"Travis County",78704,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,030300,1017,1,484530303001017,48453030300,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"2101 MANOR RD Austin TX 78722",30.283986,-97.719856,1,rooftop,"2101 Manor Rd",,"Austin, TX 78722",2101,"Manor Rd",,,Austin,TX,"Travis County",78722,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000402,3003,3,484530004023003,48453000402,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12518 RESEARCH BLVD. STE. N Austin TX 78759",30.429173,-97.760531,1,range_interpolation,"12518 Research Blvd","Ste N","Austin, TX 78759",12518,"Research Blvd",Ste,N,Austin,TX,"Travis County",78759,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,032700,2002,2,484530327002002,48453032700,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"2907 S 1ST ST Austin TX 78704",30.236074,-97.763238,1,rooftop,"2907 S 1st St",,"Austin, TX 78704",2907,"S 1st St",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001308,3007,3,484530013083007,48453001308,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"614 E ST JOHNS AVE Austin TX 78752",30.333746,-97.705602,1,rooftop,"614 E St Johns Ave",,"Austin, TX 78752",614,"E St Johns Ave",,,Austin,TX,"Travis County",78752,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040000,1012,1,484530400001012,48453040000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"7107 HWY 290 EAST Austin TX 78723",30.32208,-97.685968,1,range_interpolation,"7107 E US-290",,"Austin, TX 78723",7107,"E US-290",,,Austin,TX,"Travis County",78723,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,040200,1007,1,484530402001007,48453040200,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1200 KRAMER LN #1 Austin TX 78758",30.382906,-97.694359,1,rooftop,"1200 Kramer Ln","# 1","Austin, TX 78758",1200,"Kramer Ln",#,1,Austin,TX,"Travis County",78758,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,041900,2011,2,484530419002011,48453041900,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1762 COLONY CREEK Austin TX 78758",30.369758,-97.715262,1,rooftop,"1762 Colony Creek Dr",,"Austin, TX 78758",1762,"Colony Creek Dr",,,Austin,TX,"Travis County",78758,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040700,3002,3,484530407003002,48453040700,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"3008 W SLAUGHTER LN B Austin TX 78748",30.17933,-97.840238,1,rooftop,"3008 W Slaughter Ln","Ste B","Austin, TX 78748",3008,"W Slaughter Ln",Ste,B,Austin,TX,"Travis County",78748,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,031700,1012,1,484530317001012,48453031700,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1700 E CESAR CHAVEZ Austin TX 78702",30.257919,-97.726443,1,rooftop,"1700 E Cesar Chavez St",,"Austin, TX 78702",1700,"E Cesar Chavez St",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000902,4055,4,484530009024055,48453000902,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"11003 HARRIS BRANCH PKWY Austin TX 78754",30.342725,-97.612778,1,rooftop,"11003 Harris Branch Pkwy",,"Austin, TX 78754",11003,"Harris Branch Pkwy",,,Austin,TX,"Travis County",78754,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,042400,1067,1,484530424001067,48453042400,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northeast Travis",92807,Z5,"A statistical county subdivision"
"5625 W GATE BLVD. Austin TX 78745",30.219315,-97.806581,1,rooftop,"5625 W Gate Blvd",,"Austin, TX 78745",5625,"W Gate Blvd",,,Austin,TX,"Travis County",78745,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,030300,2004,2,484530303002004,48453030300,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"7007 VILLAGE CENTER DR Austin TX 78731",30.351987,-97.756499,1,rooftop,"7007 Village Center Dr",,"Austin, TX 78731",7007,"Village Center Dr",,,Austin,TX,"Travis County",78731,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,030600,1002,1,484530306001002,48453030600,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5303 NUCKOLS CROSSING RD Austin TX 78744",30.192801,-97.738662,1,rooftop,"5303 Nuckols Crossing Rd",,"Austin, TX 78744",5303,"Nuckols Crossing Rd",,,Austin,TX,"Travis County",78744,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002448,3017,3,484530024483017,48453002448,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1621 E CESAR CHAVEZ ST. Austin TX 78702",30.257601,-97.727059,1,rooftop,"1621 E Cesar Chavez St",,"Austin, TX 78702",1621,"E Cesar Chavez St",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001000,2001,2,484530010002001,48453001000,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8523 RESEARCH BLVD Austin TX 78758",30.417982,-97.746233,0.69,street_center,"Research Blvd",,"Austin, TX 78759",,"Research Blvd",,,Austin,TX,"Travis County",78759,US,"TIGER/Line® dataset from the US Census Bureau",2024,48,48453,Austin,4805000,032500,3001,3,484530325003001,48453032500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1809 W ANDERSON LN Austin TX 78757",30.353303,-97.725586,1,rooftop,"1809 W Anderson Ln",,"Austin, TX 78757",1809,"W Anderson Ln",,,Austin,TX,"Travis County",78757,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001504,3004,3,484530015043004,48453001504,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
